,Name,Score
1,毒液：致命守护者,9.3
2,无名之辈,9.1
3,你好，之华,7.9
4,名侦探柯南：零的执行人,8.4
5,无敌破坏王2：大闹互联网,8.9
6,影,8.2
7,生活万岁,9.1
8,神奇动物：格林德沃之罪,7.6
9,憨豆特工3,8.6
10,中国蓝盔,7.5
11,无双,8.9
12,恐龙王,8.9
13,冰封侠:时空行者,4.2
14,胡桃夹子和四个王国,7.9
15,恐怖快递,2.2
16,找到你,9.0
17,李茶的姑妈,7.9
18,嗝嗝老师,9.4
19,老爸102岁,9.0
20,克隆人,8.4
21,飓风奇劫,8.4
22,流浪猫鲍勃,8.9
23,有五个姐姐的我就注定要单身了啊,7.2
24,滴答屋,7.7
25,我的冤家是条狗,8.5
26,黑暗迷宫,7.7
27,费加罗的婚礼,7.0
28,白毛女,8.9
