,Name,Score
0,神奇动物：格林德沃之罪,7.9
1,毒液：致命守护者,7.4
2,无名之辈,8.0
3,名侦探柯南：零的执行人,5.9
4,你好，之华,7.1
5,胡桃夹子和四个王国,6.1
6,我的冤家是条狗,7.1
7,飓风奇劫,5.9
8,梦境之源,暂无评分
9,有5个姐姐的我就注定要单身了啊！！,暂无评分
10,流浪猫鲍勃,8.0
11,嗝嗝老师,7.5
12,锁,暂无评分
13,最后一公里,暂无评分
14,恐龙王,暂无评分
15,雪怪大冒险,7.7
16,无双,8.2
17,三国杀·幻,暂无评分
18,找到你,7.5
19,勇敢往事,暂无评分
20,阴阳眼之瞳灵公馆,暂无评分
21,昨日青空,6.1
22,希腊人佐巴,8.2
23,冰封侠：时空行者,2.7
24,地层深处,7.0
25,记忆折叠,暂无评分
26,信仰者,暂无评分
27,影,7.4
28,影像之书,7.5
29,滴答屋,5.6
