Name,Douban,Maoyan,Taopp
你好，之华,7.1,8.0,8.1
冰封侠：时空行者,2.7,4.0,5.4
名侦探柯南：零的执行人,5.9,8.5,8.4
嗝嗝老师,7.5,9.4,9.1
影,7.4,8.2,8.2
我的冤家是条狗,7.1,8.6,8.4
找到你,7.5,9.0,8.7
无双,8.2,8.9,8.9
昨日青空,6.1,8.6,8.4
毒液：致命守护者,7.4,9.4,9.0
流浪猫鲍勃,8.0,9.0,8.7
滴答屋,5.6,7.6,7.7
神奇动物：格林德沃之罪,7.9,7.8,8.7
胡桃夹子和四个王国,6.1,7.9,7.7
雪怪大冒险,7.7,9.3,8.7
飓风奇劫,5.9,8.4,8.2
